Date,Store_ID,Channel,Product_ID,Units_Sold,Revenue,Region,Promotion
2023-01-01,1,Physical,1,22,306.12,North,0
2023-01-01,1,Online,2,15,225.75,North,1
2023-01-01,2,Physical,3,18,270.0,South,0
2023-01-01,2,Online,4,20,300.4,South,1
2023-01-01,3,Physical,5,25,375.25,East,0
2023-01-01,3,Online,6,17,255.85,East,1
2023-01-01,4,Physical,7,19,285.71,West,0
2023-01-01,4,Online,8,23,345.67,West,1
2023-01-02,1,Physical,9,21,315.0,North,0
2023-01-02,1,Online,10,14,210.5,North,1
2023-01-02,2,Physical,11,24,360.8,South,0
2023-01-02,2,Online,12,16,240.32,South,1
2023-01-02,3,Physical,13,18,270.72,East,0
2023-01-02,3,Online,14,22,330.55,East,1
2023-01-02,4,Physical,15,20,300.6,West,0
2023-01-02,4,Online,16,26,390.92,West,1
2023-01-03,1,Physical,17,17,255.24,North,0
2023-01-03,1,Online,18,21,315.35,North,1
2023-01-03,2,Physical,19,19,285.9,South,0
2023-01-03,2,Online,20,23,345.45,South,1
2023-01-03,3,Physical,21,22,330.0,East,0
2023-01-03,3,Online,22,18,270.54,East,1
2023-01-03,4,Physical,23,25,375.15,West,0
2023-01-03,4,Online,24,20,300.7,West,1
